"Country Name","Coordinates","Longitude","Latitude","Country Code","Indicator Name","Indicator Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Cote d'Ivoire","-83.753428,9.748917",-83.753428,9.748917,"CIV","Forest area (% of land area)","AG.LND.FRST.ZS",32.14465409,32.17798742,32.21132075,32.24465409,32.27798742,32.31132075,32.34465409,32.37798742,32.41132075,32.44465409,32.47798742,32.52641509,32.57484277,32.62327044,32.67169811,32.72012579,32.71886792,32.71761006,32.7163522,32.71509434,32.71383648,32.71257862,32.71132075,,
"Croatia","15.2,45.1",15.2,45.1,"HRV","Forest area (% of land area)","AG.LND.FRST.ZS",33.08889286,,33.21409408,33.27669469,33.3392953,33.4018959,33.42265095,33.48517328,33.58969773,33.65229834,33.71489894,33.77928814,33.84367734,33.90806654,33.9421015,34.00643317,34.06719085,34.12794853,34.18870622,34.2494639,34.31022159,34.37097927,34.43173695,,
"Cuba","-77.781167,21.521757",-77.781167,21.521757,"CUB","Forest area (% of land area)","AG.LND.FRST.ZS",19.16201117,19.51303538,19.86405959,20.2150838,20.56610801,20.91713222,21.26815642,21.61918063,21.97020484,22.32122905,22.67225326,23.16014898,23.87254441,24.36278195,24.85292736,25.33821871,25.66569576,25.98835024,26.31341601,26.63848177,26.96354754,27.2886133,27.61367907,,
"Cyprus","33.429859,35.126413",33.429859,35.126413,"CYP","Forest area (% of land area)","AG.LND.FRST.ZS",17.43506494,17.54978355,17.66341991,17.77705628,17.89069264,18.004329,18.11796537,18.23160173,18.3452381,18.45887446,18.57251082,18.5995671,18.62662338,18.6525974,18.67965368,18.70670996,18.71428571,18.72077922,18.72835498,18.73593074,18.74242424,18.75,18.75649351,,
"Czech Republic","15.472962,49.817492",15.472962,49.817492,"CZE","Forest area (% of land area)","AG.LND.FRST.ZS",34.02355377,,,34.05461369,34.064967,34.07532031,34.08567361,34.09602692,34.10638023,34.11673353,34.12708684,34.1529701,34.17885337,34.20473664,34.23505048,34.2609371,34.29126214,34.3171521,34.34304207,34.36893204,34.39927499,34.42516831,34.45552247,,
"Denmark","9.501785,56.26392",9.501785,56.26392,"DNK","Forest area (% of land area)","AG.LND.FRST.ZS",10.49775891,10.59447983,10.68112185,10.77775159,10.87438133,10.97101108,11.06764082,11.16427056,11.26090031,11.35753005,11.45415979,11.6804148,11.90666981,12.13292482,12.35917983,12.58543483,12.63257129,12.67970775,12.72684421,12.77398067,12.82111713,12.86825359,12.91539005,,
"Djibouti","42.590275,11.825138",42.590275,11.825138,"DJI","Forest area (% of land area)","AG.LND.FRST.ZS",0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,,
"Dominica","-61.370976,15.414999",-61.370976,15.414999,"DMA","Forest area (% of land area)","AG.LND.FRST.ZS",66.66666667,66.26666667,66,65.6,65.2,64.93333333,64.53333333,64.13333333,63.86666667,63.46666667,63.06666667,62.8,62.4,62,61.73333333,61.33333333,60.93333333,60.66666667,60.26666667,59.90666667,59.54666667,59.18666667,58.8,,
"Dominican Republic","-70.162651,18.735693",-70.162651,18.735693,"DOM","Forest area (% of land area)","AG.LND.FRST.ZS",40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,40.81125828,,
"East Asia & Pacific (all income levels)","-70.162651,18.735693",-70.162651,18.735693,"EAS","Forest area (% of land area)","AG.LND.FRST.ZS",26.88469484,26.86021741,26.83165356,26.8030893,26.77452462,26.74597257,26.71752686,26.68896451,26.66039805,26.631832,26.61904533,26.69953731,26.84785456,26.92939051,27.01053262,27.09159571,27.10784123,27.12414644,27.14066003,27.15700052,27.17345251,27.18982454,27.13804488,,
"East Asia & Pacific (developing only)","-70.162651,18.735693",-70.162651,18.735693,"EAP","Forest area (% of land area)","AG.LND.FRST.ZS",28.88736932,28.84314049,28.79416266,28.7451842,28.69620574,28.64724715,28.5982841,28.54930872,28.50032769,28.45134666,28.4281413,28.56323302,28.80927759,28.94581175,29.08169825,29.21747112,29.30088863,29.38441619,29.46842697,29.55206787,29.63576387,29.71932717,29.68923633,,
"Ecuador","-78.183406,-1.831239",-78.183406,-1.831239,"ECU","Forest area (% of land area)","AG.LND.FRST.ZS",49.90969513,49.19592544,48.48215576,47.76838607,47.05461638,46.3408467,45.62707701,44.91330733,49.26799807,48.4723788,47.67675954,46.88114028,46.08552102,45.28990176,44.49428249,43.69866323,42.90304397,42.10742471,41.31180544,40.51618618,39.72056692,38.92494766,38.12932839,,
"Egypt, Arab Rep.","30.802498,26.820553",30.802498,26.820553,"EGY","Forest area (% of land area)","AG.LND.FRST.ZS",0.044201115,0.045707971,0.047214827,0.048721684,0.05022854,0.051735396,0.053242252,0.054749108,0.056255965,0.057762821,0.059269677,0.06087699,0.062484304,0.064091617,0.06569893,0.067306243,0.067908986,0.068511728,0.069114471,0.069717213,0.070319956,0.070922698,0.071525441,,
"El Salvador","-88.89653,13.794185",-88.89653,13.794185,"SLV","Forest area (% of land area)","AG.LND.FRST.ZS",18.19498069,17.97779923,17.76061776,17.54343629,17.32625483,17.10907336,16.89189189,16.67471042,16.45752896,16.24034749,16.02316602,15.8011583,15.57915058,15.35714286,15.13513514,14.91312741,14.7007722,14.48841699,14.27606178,14.06370656,13.85135135,13.63899614,13.42664093,,
