"Country Name","Coordinates","Longitude","Latitude","Country Code","Indicator Name","Indicator Code",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"El Salvador","-88.89653,13.794185",-88.89653,13.794185,"SLV","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19498069,17.97779923,17.76061776,17.54343629,17.32625483,17.10907336,16.89189189,16.67471042,16.45752896,16.24034749,16.02316602,15.8011583,15.57915058,15.35714286,15.13513514,14.91312741,14.7007722,14.48841699,14.27606178,14.06370656,13.85135135,13.63899614,13.42664093,,
"El Salvador","-88.89653,13.794185",-88.89653,13.794185,"SLV","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.20394605,0.219970339,0.369495771,0.391773255,0.321075905,0.390653653,0.336899922,0.356611421,0.32778154,0.382836049,0.393804349,0.426527136,0.487651334,0.476915419,0.498189551,0.511266021,0.518347681,0.531260214,0.521742964,0.457926908,0.387264848,0.367869933,0.390626995,0.325255275,0.397198705,0.39281837,0.477161632,0.475334991,0.491310739,0.489919027,0.59547512,0.62213013,0.695097941,0.780193115,0.918661805,0.843061093,0.983882945,0.98595034,0.961157291,0.963705408,0.99374718,1.005199634,1.086835498,1.052165208,1.062804383,1.12295143,1.126519855,1.064017123,1.047293403,1.004884536,,,,
"Equatorial Guinea","10.267895,1.650801",10.267895,1.650801,"GNQ","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.31016043,65.89304813,65.47593583,65.05882353,64.64171123,64.22459893,63.80748663,63.39037433,62.97326203,62.55614973,62.13903743,61.7254902,61.31194296,60.89839572,60.48484848,60.07130125,59.65062389,59.22994652,58.80926916,58.3885918,57.96791444,57.54723708,57.12655971,,
"Equatorial Guinea","10.267895,1.650801",10.267895,1.650801,"GNQ","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.08624853,0.085298907,0.098352427,0.096958182,0.108882926,0.093182561,0.090881732,0.101613428,0.150691405,0.126054898,0.231672347,0.320154824,0.111809007,0.205708287,0.261668003,0.272786148,0.28279607,0.323454177,0.289801914,0.265978811,0.299400966,0.292452228,0.228924069,0.274564792,0.211035515,0.245766249,0.290398367,0.30230317,0.323837121,0.323687779,0.521934796,0.541390053,0.248377428,0.085777176,0.298785277,0.257113997,0.622464395,0.34669566,0.941999606,0.877511439,5.7893646,9.031184315,10.58398704,8.904935809,7.806030998,7.646503635,7.49890716,6.843320543,6.826347305,6.721220627,,,,
"Eritrea","39.782334,15.179384",39.782334,15.179384,"ERI","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.04950495,,,15.91584158,15.87128713,15.82673267,15.78217822,15.73762376,15.69306931,15.64851485,15.6039604,15.56039604,15.51683168,15.47326733,15.42970297,15.38613861,15.34257426,15.2990099,15.25544554,15.21188119,15.16831683,15.12475248,15.08118812,,
"Eritrea","39.782334,15.179384",39.782334,15.179384,"ERI","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054472267,0.087160618,0.100295129,0.148313384,0.16094075,0.163283346,0.15452354,0.153774775,0.141315955,0.16233888,0.165055486,0.157888871,0.111429392,0.111209813,0.076989679,0.092369603,0.089420969,,,,
"Estonia","25.013607,58.595272",25.013607,58.595272,"EST","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.30408115,,50.02594952,50.3868837,50.74781788,51.10875206,51.46968625,51.83062043,52.19155461,52.55248879,52.91342298,52.95588582,52.99834867,53.04081151,53.08327436,53.1257372,52.96060392,52.79547063,52.63033734,52.46520406,52.30007077,52.13493749,51.80467091,,
"Estonia","25.013607,58.595272",25.013607,58.595272,"EST","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01156291,11.88114204,12.09032802,11.23097463,12.67757422,12.53744637,11.90979515,11.07308528,10.86724625,11.23520097,10.82806467,12.43984913,12.63554732,12.38596224,12.02085298,14.05608572,13.08183443,11.04896311,13.77319664,,,,
"Ethiopia","40.489673,9.145",40.489673,9.145,"ETH","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19981835,15.06775658,14.93569482,14.6913,14.5504,14.4095,14.2686,14.1277,13.9868,13.8459,13.705,13.564,13.423,13.282,13.141,13,12.859,12.718,12.5776,12.4368,12.296,12.1552,12.0144,,
"Ethiopia","40.489673,9.145",40.489673,9.145,"ETH","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",0.015042521,0.017054827,0.017719891,0.016683909,0.025801694,0.032177785,0.040882929,0.064098575,0.060335377,0.058202254,0.063318415,0.046726504,0.056488847,0.054562186,0.037154235,0.03551284,0.031198788,0.040272326,0.053460773,0.051714996,0.051711672,0.039920956,0.048210489,0.042154111,0.044514226,0.05260848,0.059377238,0.059515675,0.06088591,0.062817817,0.060006132,0.057575257,0.05676655,0.053942147,0.037748091,0.063407832,0.070574784,0.080627733,0.079102494,0.088308985,0.063403821,0.064062617,0.068715182,0.070799012,0.066342512,0.06922699,0.073530817,0.07709377,0.078493947,0.07456497,,,,
"Euro area","40.489673,9.145",40.489673,9.145,"EMU","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.19725591,33.43752593,34.60768904,34.96241935,35.21765577,35.47277802,35.72794095,35.98356257,36.23901306,36.49464952,36.58272823,36.67460208,36.75085066,36.83303214,36.91855703,37.00497444,37.15064169,37.28653196,37.43099084,37.56948571,37.70595234,37.84350733,37.97818239,,
"Euro area","40.489673,9.145",40.489673,9.145,"EMU","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",4.415134493,4.762528739,5.180562113,5.376388192,5.554041778,5.728223134,6.048102296,6.410905949,6.770148651,7.363051303,7.631485345,8.102572835,8.645369673,8.545343353,8.025629441,8.765088513,8.476826857,8.810670844,9.205292919,8.996476018,8.427422768,8.033402047,7.804358947,7.781852521,7.847193278,7.672033928,7.827397383,7.784299614,8.311039766,8.368374185,8.627850968,8.35756194,8.150023749,8.104349622,8.252475368,8.448241622,8.30716011,8.440222257,8.21928827,8.263020169,8.42372108,8.368009674,8.498316255,8.50668173,8.411432268,8.308324524,8.175244172,7.958818373,7.38174341,7.444627939,,,,
"Europe & Central Asia (all income levels)","40.489673,9.145",40.489673,9.145,"ECS","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.09679933,,37.2007125,37.23539781,37.2757292,37.31354902,37.34772657,37.28652632,37.31678697,37.34115859,37.34015501,37.39586811,37.50545528,37.53097336,37.55910597,37.5539812,37.59517929,37.62810816,37.66096979,37.6923831,37.72646485,37.75895221,37.70934698,,
"Europe & Central Asia (all income levels)","40.489673,9.145",40.489673,9.145,"ECS","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.078322657,8.553223799,8.014758793,7.96488365,8.005685372,7.700091658,7.663932921,7.519665523,7.578907812,7.670664306,7.63616117,7.84067702,7.855681519,7.831724865,7.989932745,7.971592763,7.933163446,7.278518198,7.641154733,,,,
"Europe & Central Asia (developing only)","40.489673,9.145",40.489673,9.145,"ECA","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.67545142,,9.419432945,9.442245159,9.465182765,9.488194623,9.511082931,9.534140946,9.55720637,9.580768499,9.925483127,9.645792603,9.690147036,9.731819984,9.77351356,10.13615552,10.18995478,10.24434491,10.29819344,10.35049912,10.40421671,10.45784387,10.51190938,,
"Europe & Central Asia (developing only)","40.489673,9.145",40.489673,9.145,"ECA","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.837038324,6.174855615,5.44670424,5.321204706,5.140169932,4.752010167,4.693543106,4.571673157,4.64690891,4.67459965,4.725646597,4.955261778,5.016782468,5.035484031,5.292134344,5.514136772,5.537528557,4.977154791,5.312749935,,,,
"Europe and Central Asia (IFC classification)","40.489673,9.145",40.489673,9.145,"CEU","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe and Central Asia (IFC classification)","40.489673,9.145",40.489673,9.145,"CEU","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"European Union","40.489673,9.145",40.489673,9.145,"EUU","Forest area (% of land area)","AG.LND.FRST.ZS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.55685593,34.20213361,34.86223367,35.08047014,35.25508415,35.43021274,35.60435261,35.78003868,35.95528143,36.13046544,36.20643635,36.33663362,36.47164521,36.59596691,36.73845185,36.84908184,36.99255867,37.11307974,37.23794551,37.35002504,37.46991216,37.58976667,37.71797981,,
"European Union","40.489673,9.145",40.489673,9.145,"EUU","CO2 emissions (metric tons per capita)","EN.ATM.CO2E.PC",5.89229824,6.177589485,6.54001101,6.754908111,6.925871302,7.078833565,7.18691521,7.552885463,7.965012349,8.447391718,8.612885649,8.899437119,9.299726326,9.114997884,8.897313339,9.434940101,9.360021196,9.625740332,9.996721059,9.679933604,9.104226704,8.878585188,8.730343159,8.652177498,8.852981227,8.807724809,8.950357954,8.805156714,9.027875464,8.607577753,8.703235559,8.43810542,8.246932698,8.13060405,8.259801296,8.496221434,8.264243592,8.259524628,7.996533501,8.021007717,8.174155097,8.089453471,8.243095386,8.230901684,8.154486906,8.147203428,8.01937382,7.822184474,7.208959294,7.351427046,,,,
